Posta Raccomandata RK (con AR)|RACC_MARKET_RK|RK|233|RK|R|PCK, IDP, PDDP, RCD, DMT|Y|N
Posta Raccomandata RK|RACC_MARKET_RK|RK|233|RK|R|PCK, IDP, PDDP, RCD, DMT, IIL|N|N
Minibox track (con CN07)|MINI BOX TRACK|EE|250|EE|A|PCK|Y|Y
Minibox track|MINI BOX TRACK|EE|250|EE|A|PCK|N|Y
Atto Giudiziario|AG_CAN_CAD_MK_TRAC|AGE|275|AGE|R|PCK, IDP,CA, AGC, ARCD, DMT, IIL|N|N
